영화명,영화명(영어),제작연도,국적,유형,장르,제작상태,감독,제작사
꼬여버린 섹파들,,2021,한국,장편,"성인물(에로),멜로/로맨스",개봉,이로운,(주)영화사히트
암수 부부의 정사 노트,,2021,한국,장편,"성인물(에로),드라마",개봉,야신수,(주)이십일세기미디어
연주의 섹스파트너,,2020,한국,장편,"성인물(에로),멜로/로맨스",개봉,신승엽,P&미디어
금의위: 초능척살대,,2018,중국,장편,액션,개봉,,
섹시한 과외선생,,2021,한국,장편,"성인물(에로),멜로/로맨스",개봉,이로운,(주)영화사히트
잘세우는 여선생,,2021,한국,장편,"성인물(에로),멜로/로맨스",개봉,이로운,(주)영화사히트
좀비 살아있다,Zoombies 2,2019,미국,장편,"액션,스릴러,어드벤처",개봉,글렌 밀러,
할까말까,,2021,한국,장편,"성인물(에로),멜로/로맨스",개봉,이로운,(주)영화사히트
이상존재,MY STRANGER,2021,한국,장편,공포(호러),개봉,차진우,"(주)아크메,(주)드림팩트엔터테인먼트"
총을 들지 않는 사람들: 금기에 도전,Men Who Won't Pick Up Guns 2: Breaking a Taboo,2020,한국,장편,다큐멘터리,개봉,김환태,다큐이야기
여타짜,,2021,한국,장편,"범죄,드라마",개봉,이지승,"하이컨셉픽쳐스(주),(주)더그레이트컴퍼니"
위험한 그녀들,,2021,한국,장편,성인물(에로),개봉,강현성,(주)샤이커뮤니케이션즈
물오징어6969,,2021,한국,장편,"성인물(에로),멜로/로맨스",개봉,몽타,(주)픽쳐레스크
그녀의 비밀스러운 성,,2021,한국,장편,성인물(에로),개봉,강현성,(주)샤이커뮤니케이션즈
데드락: 라스트 리벤지,Deadlock,2021,미국,장편,기타,개봉,자레드 콘,
유체이탈자,Spiritwalker,2020,한국,장편,"판타지,액션",개봉,윤재근,"(주)비에이엔터테인먼트,(주)사람엔터테인먼트"
원 세컨드,One Second,2020,중국,장편,드라마,개봉,장예모,
미결처리반 Q: 침묵의 암살자,The Marco Effect,2021,"덴마크,독일,체코",장편,"범죄,스릴러",개봉,마틴 잔드블리엣,
극장판 천재 추리 탐정 셜록홈즈,Sherlock Holmes & the Great Escape,2019,홍콩,장편,애니메이션,개봉,,
소설가 구보의 하루,Sisyphus's vacation,2020,한국,장편,드라마,개봉,임현묵,영화사 다동극장
사막을 건너 호수를 지나,Let's Peace!,2019,한국,장편,다큐멘터리,개봉,"박소현,송영윤",보리와 메루
해피 뉴 이어,A YEAR-END MEDLEY,2021,한국,장편,"멜로/로맨스,드라마",개봉,곽재용,(주)하이브미디어코프
인류를 위한 번식경쟁 두명 다 줄게,,2021,한국,장편,성인물(에로),개봉,제너럴리스트,솔앤드 주식회사
위아래 흔들리는 새엄마,,2020,일본,장편,"성인물(에로),드라마,멜로/로맨스",개봉,히로아키,
장민호 드라마 최종회,Jang Minho Drama,2022,한국,장편,공연,개봉,,"씨제이 씨지브이(CJ CGV)(주),CGV ICECON"
시카리오: 나이트 오브 이스케이프,Blindsided,2021,미국,장편,액션,개봉,,
새엄마:같이 목욕할래?,,2020,일본,장편,"성인물(에로),드라마,멜로/로맨스",개봉,히로아키,
관음:아내의 외도,,2020,일본,장편,"성인물(에로),드라마,멜로/로맨스",개봉,나가에 타카미,
허스토리,Herstory,2017,한국,장편,드라마,개봉,민규동,(주)수필름
해리 포터와 불사조 기사단,Harry Potter And The Order Of The Phoenix,2007,미국,장편,"판타지,액션,어드벤처",개봉,데이빗 예이츠,"워너 브러더스 픽쳐스,헤이데이필름"
덩케르크,Dunkirk,2017,"미국,영국",장편,"액션,드라마,스릴러,전쟁",개봉,크리스토퍼 놀란,
구멍을 믿지 마세요,,2021,한국,장편,"성인물(에로),드라마",개봉,야신수,(주)이십일세기미디어
속살 깊숙이 위로해 주는 여동생,,2021,한국,장편,성인물(에로),개봉,강현성,(주)샤이커뮤니케이션즈
견딜 수 없는 유혹,,2021,한국,장편,성인물(에로),개봉,강현성,(주)샤이커뮤니케이션즈
걸 위드 더 카메라,Girl with the Camera,2021,한국,장편,다큐멘터리,개봉,안희수,
아담,Adam,2019,"모로코,프랑스,벨기에",장편,드라마,개봉,마리암 투자니,
프리! 더 파이널 스트로크 전편,Free! – the Final Stroke – the first volume,2020,일본,장편,애니메이션,개봉,카와나미 에이사쿠,
신들의 분노,Valley of the Gods,2019,폴란드,장편,액션,개봉,레흐 마예브스키,
스피드 : 레이스 1,Chi Zha Feng Yun,2020,대만,장편,액션,개봉,,
미스터 앤 미세스 아델만,Mr & Mrs Adelman,2017,프랑스,장편,"코미디,드라마,멜로/로맨스",개봉,니콜라스 베도스,
대무사,,2018,중국,장편,액션,개봉,,
우리는 이별에 서툴러서,We're not good at parting,2021,한국,장편,"드라마,판타지",개봉,"이현지,이건욱,박동기,민병채",주식회사 씨엠닉스
꽃손,Flower Hands,2018,한국,장편,드라마,개봉,권순중,씨엠지초록별
아이 스틸 빌리브,I Still Believe,2020,미국,장편,"드라마,멜로/로맨스",개봉,"앤드류 어윈,존 어윈",
레지던트 이블: 라쿤시티,Resident Evil: Welcome to Raccoon City,2021,미국,장편,"액션,공포(호러)",개봉,요하네스 로버츠,
도쿄 리벤저스,Tokyo Revengers,2020,일본,장편,"드라마,액션",개봉,하나부사 츠토무,
F컵 농락당하는 여강사,,2021,한국,장편,성인물(에로),개봉,제너럴리스트,솔앤드 주식회사
기우제,Ritual for Rain,2021,한국,장편,"드라마,멜로/로맨스",개봉,권하,묘명동화
기억의 시간,,2021,한국,장편,멜로/로맨스,개봉,황경성,(주)컨택트미디어
탈명검: 풍운재기,Sword of Destiny 1,2018,중국,장편,액션,개봉,,
워 서바이버,Edge of Extinction,2020,미국,장편,"액션,스릴러",개봉,앤드류 길버트,
참을 수 없는 형수의 질내음,,2021,일본,장편,성인물(에로),개봉,,
왕젖 누드 가정부,,2020,일본,장편,성인물(에로),개봉,,
맛이 다른 농익은 유부녀,,2021,일본,장편,성인물(에로),개봉,,
남편보다 딱딱한 시아버지,,2021,일본,장편,성인물(에로),개봉,,
신데렐라 2: 마법에 걸린 왕자,Cinderella and the Spellbinder,2021,미국,장편,"애니메이션,판타지,어드벤처",개봉,앨리스 블레하트,
욕망의 골짜기,,2021,한국,장편,성인물(에로),개봉,강현성,(주)샤이커뮤니케이션즈
남편 몰래 세입자 가지 먹기,,2021,한국,장편,성인물(에로),개봉,스티치,솔앤드 주식회사
가정부의 걸레질,,2021,한국,장편,성인물(에로),개봉,강현성,(주)샤이커뮤니케이션즈
프랑스,France,2021,프랑스,장편,드라마,개봉,브루노 뒤몽,
수호무적,Defend Homelang,2020,중국,장편,액션,개봉,,
비올레타,My Little Princess,2011,프랑스,장편,드라마,개봉,에바 이오네스코,
바이올렛 에버가든 오케스트라 콘서트 2021,Violet Evergarden Orchestra Concert 2021,2021,일본,장편,공연,개봉,,
웨스트 사이드 스토리,West Side Story,2021,미국,장편,"드라마,뮤지컬",개봉,스티븐 스필버그,
봉이 김선달,Seondal: The Man who Sells the River,2016,한국,장편,사극,개봉,박대민,"(주)엠픽처스,(주)에스엔케이픽처스"
클리포드 더 빅 레드 독,Clifford the Big Red Dog,2021,미국,장편,"어드벤처,드라마,가족",개봉,월트 벡커,파라마운트 픽쳐스
하우스 오브 구찌,House of Gucci,2021,미국,장편,"범죄,드라마,스릴러",개봉,리들리 스콧,
청춘적니,Love Will Tear Us Apart,2020,중국,장편,"멜로/로맨스,드라마",개봉,샤모,
걸즈 앤 판처 최종장 제3화,GIRLS und PANZER das FINALE: Part III,2021,일본,장편,애니메이션,개봉,미즈시마 츠토무,
하얀 노을,White Sunset,1996,한국,장편,멜로/로맨스,개봉,이정권,"(주)신도필림,정륭사"
긴 하루,,2021,한국,장편,드라마,개봉,조성규,(주)와우
장 미쉘 바스키아: 더 레이디언트 차일드,Jean-Michel Basquiat: The Radiant Child,2010,미국,장편,다큐멘터리,개봉,탐라 데이비스,
마네킹,Mannequin,2021,한국,장편,"공포(호러),판타지",개봉,김문옥,스마일픽쳐스
라라와 크리스마스 요정,Christmas at Cattle Hill,2020,노르웨이,장편,"애니메이션,가족,어드벤처",개봉,,
원샷,One Shot,2021,영국,장편,"액션,전쟁",개봉,제임스 넌,
사울 레이터: 인 노 그레이트 허리,In No Great Hurry: 13 Lessons in Life with Saul Leiter,2013,헝가리,장편,다큐멘터리,개봉,,
포에버 퍼스트 러브,Forever First Love,2020,호주,장편,멜로/로맨스,개봉,,
"사비나: 그리스도를 위한 고난, 나치 시대","Sabina: Tortured for Christ, the Nazi Years",2021,미국,장편,드라마,개봉,존 그루터스,
왼팔의복서 닉,Notorious Nick,2021,미국,장편,드라마,개봉,,
라임크라임,LIMECRIME,2020,한국,장편,드라마,개봉,"이승환,유재욱","기린놀이터,(주)시네마달"
갱경떡삥이,Gangyung  Dduckbingyi,2021,한국,장편,드라마,개봉,진명,갱경 엔터테인먼트
수면의 과학,The Science Of Sleep,2006,프랑스,장편,"코미디,판타지",개봉,미셸 공드리,"퍼티잔,고몽,프랑스3시네마"
억눌린 색욕의 분출,,2021,한국,장편,성인물(에로),개봉,강현성,(주)샤이커뮤니케이션즈
섹스의 여신,,2021,한국,장편,성인물(에로),개봉,강현성,(주)샤이커뮤니케이션즈
킬러 하이드,Hyde,2021,미국,장편,"액션,스릴러",개봉,달라스 버지스,
피드백,Feedback,2018,스페인,장편,"공포(호러),스릴러",개봉,,
씽2게더,Sing 2,2021,미국,장편,애니메이션,개봉,가스 제닝스,
스물여덟 마흔아홉,,2018,한국,장편,성인물(에로),개봉,김도현,솔앤드 주식회사
관계 매일 바뀌는 파트너,,2020,한국,장편,성인물(에로),개봉,김슬기,솔앤드 주식회사
액션히어로,ActionHero,2021,한국,장편,"액션,코미디",개봉,이진호,한국예술종합학교 산학협력단
밀정,The Age of Shadows,2016,"한국,미국",장편,액션,개봉,김지운,"(주)다크서클픽쳐스,워너브러더스 코리아(주),(주)영화사하얼빈"
"좋은 놈, 나쁜 놈, 이상한 놈 ","The Good, The Bad, The Weird",2008,한국,장편,"서부극(웨스턴),액션,어드벤처",개봉,김지운,"(주)다크서클픽쳐스,(주)바른손이앤에이"
세자매,Three Sisters,2020,한국,장편,드라마,개봉,이승원,(주)영화사 업
내가 죽던 날,THE DAY I DIED : UNCLOSED CASE,2020,한국,장편,드라마,개봉,박지완,"오스카10스튜디오,스토리퐁"
도굴,Collectors,2020,한국,장편,범죄,개봉,박정배,(주)싸이런픽쳐스
그 후,The Day After,2017,한국,장편,드라마,개봉,홍상수,(주)영화제작전원사 
아워 미드나잇,"Our Midnight, 2020",2020,한국,장편,드라마,개봉,임정은,화목한영화사
어르신의 성보조제: 죽지 않는 성기,,2021,일본,장편,드라마,개봉,,
천기검,,2018,중국,장편,어드벤처,개봉,,
신조영웅,Fox Legend 2,2017,홍콩,장편,"판타지,액션,드라마",개봉,,
피어: 마지막 생존자,F.E.A.R,2021,미국,장편,"액션,스릴러",개봉,"제프 레이즈너,제이슨 토비아스",
가면-감춰진 진실,In the Name of Confucius,2017,캐나다,장편,다큐멘터리,개봉,,
사모님 골프 개인교습,,2021,한국,장편,멜로/로맨스,개봉,김호철,(주)픽쳐레스크
오빠 한번 믿어봐 - 무삭제판,,2020,한국,장편,멜로/로맨스,개봉,김종석,너바나 필름
에로틱 두피 관리샵,,2021,한국,장편,"멜로/로맨스,드라마",개봉,김태훈,(주)픽쳐레스크
돈 룩 업,Don’t Look Up,2021,미국,장편,"코미디,드라마,SF",개봉,아담 맥케이,
잘 빨고 헹구는 가정부 아줌마,,2020,일본,장편,드라마,개봉,,
밥도 몸도 잘주는 옆집 유부녀,,2020,일본,장편,드라마,개봉,,
사운드 오브 서울,,2021,한국,장편,다큐멘터리,개봉,스티븐 두트,(주)민치앤필름
필로포비아,Philophobia,2019,영국,장편,"코미디,드라마,멜로/로맨스",개봉,,
숏버스 배우행,Short Bus: NG or OK,2021,한국,옴니버스,"드라마,다큐멘터리",개봉,"이건휘,김내리,황지현,서태범,황재필,김효준",서울국제초단편영화제
풋풋한여대생소라의신음소리-무삭제,,2021,한국,장편,성인물(에로),개봉,이희성,스마일컨텐츠
커플교환 : 여자친구가 원해서 무삭제,,2020,한국,장편,멜로/로맨스,개봉,한대위,(주)영화사가을
기문환생2: 강호혈투,My Lord 2,2017,홍콩,장편,멜로/로맨스,개봉,,
리틀 뱀파이어,Little Vampire,2020,프랑스,장편,애니메이션,개봉,조안 스파,
램,Lamb,2020,기타,장편,공포(호러),개봉,발디마르 요한손,
음란한 상상,,2021,한국,장편,성인물(에로),개봉,강현성,(주)샤이커뮤니케이션즈
외로운 그녀의 사정,,2021,한국,장편,성인물(에로),개봉,강현성,(주)샤이커뮤니케이션즈
와이파이 비번은 육구칠사,,2021,한국,장편,성인물(에로),개봉,미니미니,솔앤드 주식회사
여비서의 빨간 보고서 무삭제판,,2021,한국,장편,멜로/로맨스,개봉,윤수현,(주)라온컴퍼니플러스
여비서의 빨간 보고서,,2021,한국,장편,멜로/로맨스,개봉,윤수현,(주)라온컴퍼니플러스
신조무림,Fox Legend,2017,홍콩,장편,"판타지,액션,드라마",개봉,,
스타킹 : 그녀의 음모 무삭제판,,2021,한국,장편,멜로/로맨스,개봉,윤수현,(주)라온컴퍼니플러스
새엄마의 야한 밤,,2021,일본,장편,멜로/로맨스,개봉,,
새엄마 발키리,,2021,일본,장편,멜로/로맨스,개봉,,
며느리 몸으로 울었다,,2021,일본,장편,멜로/로맨스,개봉,,
괜찮아 새엄마야,,2021,일본,장편,멜로/로맨스,개봉,,
오단기어 박는 불륜녀,,2021,일본,장편,드라마,개봉,,
맛있는 치섹,,2021,한국,장편,멜로/로맨스,개봉,김태훈,(주)픽쳐레스크
마누라 공유하기 2 - 무삭제판,,2020,한국,장편,멜로/로맨스,개봉,김종석,너바나 필름
그레이트 샤크2,Shark Season,2020,미국,장편,"액션,스릴러",개봉,자레드 콘,
촉촉한 형수,,2021,한국,장편,"멜로/로맨스,드라마",개봉,한대위,(주)영화사가을
화끈한 며느리,,2021,한국,장편,드라마,개봉,이로운,(주)영화사히트
기문둔갑: 괴소소녀,Strange Girl,2017,홍콩,장편,"판타지,액션,드라마",개봉,,
예쁜 새댁 무삭제,,2020,한국,장편,멜로/로맨스,개봉,최찬호,(주)영화사가을
불륜 성욕 폭발: 헝크러진 욕정,,2021,일본,장편,드라마,개봉,,
더 매치: 1944,The Match,2021,기타,장편,"드라마,전쟁",개봉,,
여배우의 스와핑-무삭제판,,2020,한국,장편,멜로/로맨스,개봉,김종석,모히또필름
수상한 옆집 아내,,2021,한국,장편,성인물(에로),개봉,김예나,(주)알앤알프로덕션
비대면 정사,,2021,한국,장편,"멜로/로맨스,드라마",개봉,이상수,영드래곤 미디어
마누라 공유하기 2,,2020,한국,장편,멜로/로맨스,개봉,김종석,너바나 필름
무림철검,Mad Latent The Sword,2017,홍콩,장편,기타,개봉,,
2솔져스: 배틀필드,Azimuth,2017,이스라엘,장편,"액션,전쟁",개봉,,
무림팔선,The Eight Fairies,2017,중국,장편,"판타지,액션,드라마",개봉,,
라자루스,Lazarus,2020,미국,장편,액션,개봉,R.L. 스콧,
하숙집 2021,,2021,한국,장편,"멜로/로맨스,드라마",개봉,최찬호,(주)영화사가을
처제길들이기 오리진 무삭제,,2021,한국,장편,"성인물(에로),멜로/로맨스",개봉,패콘,주식회사 패콘
자매여도 괜찮아,,2021,한국,장편,성인물(에로),개봉,성이성,(주)담화
위험한 사촌동생,,2021,한국,장편,멜로/로맨스,개봉,김태훈,(주)픽쳐레스크
엄마몰래 여대생 숙성과외,,2021,일본,장편,드라마,개봉,미시마 로쿠사부로,
쌔빨간 장모님,,2021,한국,장편,성인물(에로),개봉,맹진사,(주)담화
며느리 : 배꼽 맞춘 날 무삭제,,2021,한국,장편,"멜로/로맨스,드라마",개봉,김환,(주)영화사가을
잘빠진 새엄마,,2021,한국,장편,멜로/로맨스,개봉,이로운,(주)영화사히트
황혼의 빛,Lights in the Dusk,2006,핀란드,장편,드라마,개봉,아키 카우리스마키,
과거가 없는 남자,The Man Without a Past,2002,핀란드,장편,"코미디,드라마",개봉,아키 카우리스마키,판도라 필름프로덕션 
성냥공장 소녀,The Match Factory Girl,1990,핀란드,장편,드라마,개봉,아키 카우리스마키,
레닌그라드 카우보이 미국에 가다,Leningrad Cowboys Go America,1989,핀란드,장편,코미디,개봉,아키 카우리스마키,
섹스 봉사단: 육욕의 가정부,,2021,일본,장편,드라마,개봉,,
마마무 2021 웨어 아 위 콘서트 더 무비,,2021,한국,장편,공연,개봉,손석,씨제이 씨지브이(CJ CGV)(주)
커밍 홈 인 더 다크,Coming Home in the Dark,2021,뉴질랜드,장편,"공포(호러),스릴러",개봉,,
데스 파이터 : 죽음의 매치,Knuckledust,2020,영국,장편,"액션,스릴러",개봉,,
연애 빠진 로맨스,Nothing Serious,2021,한국,장편,"멜로/로맨스,코미디",개봉,정가영,"(주)씨제이이엔엠,트웰브져니(주)"
캐디의 목적,,2021,한국,장편,멜로/로맨스,개봉,이정석,스마일컨텐츠
아내의 예쁜동생,,2021,한국,장편,"성인물(에로),드라마",개봉,리차드 킴,(주)룬컴퍼니
극장판 소드 아트 온라인 -프로그레시브- 별 없는 밤의 아리아,Sword Art Online the Movie -Progressive- Aria of a Starless Night,2020,일본,장편,"애니메이션,액션,판타지",개봉,카와노 아야코,
악인은 너무 많다 2 - 제주 실종사건의 전말,Too many villains 2 - missing in Jeju,2021,한국,장편,스릴러,개봉,김회근,"(주)비싸이드 픽쳐스,하이엔드 픽쳐스"
로또쉐어,LOTTO SHARE,2019,한국,장편,"스릴러,액션,범죄",개봉,소재익,(주)지티지그룹
유부녀의 필살 유혹기,,2020,일본,장편,"멜로/로맨스,드라마",개봉,사노 B사쿠,
숏버스 감독행,"Short Bus: Ready, Action!",2021,한국,옴니버스,"드라마,가족",개봉,"최진영,현승휘,서정미,김건휘,이상빈",(주)퍼니콘
SM부부의 스와핑 클리닉,,2021,한국,장편,"성인물(에로),드라마",개봉,한길수,주식회사 플릭스코
오늘도 또 찾아온 남편친구,,2021,한국,장편,성인물(에로),개봉,제너럴리스트,솔앤드 주식회사
영어완전정복,Please Teach Me English,2003,한국,장편,"드라마,코미디",개봉,김성수,(주)나비픽처스
유부녀들:섹파 만들기,,2020,일본,장편,"멜로/로맨스,드라마",개봉,나베,
아내의 은밀한 과거,,2020,일본,장편,"멜로/로맨스,드라마",개봉,하라다 칸토나,
새아빠:기막힌 스킬,,2020,일본,장편,"멜로/로맨스,드라마",개봉,디렉터 O,
거유 치나미 사쿠라의 아찔 유혹,,2020,일본,장편,"멜로/로맨스,드라마",개봉,카오루,
핫 블러드,Hot blood,2021,한국,장편,액션,개봉,신재명,(주)하늬바람
킹스맨: 퍼스트 에이전트,The King's Man,2020,미국,장편,액션,개봉,매튜 본,
참을 수 없는 형수의 맛,,2020,일본,장편,드라마,개봉,,
유부녀의 야한 장난,,2021,한국,장편,성인물(에로),개봉,강현성,(주)샤이커뮤니케이션즈
신음하는 아내,,2021,한국,장편,성인물(에로),개봉,강현성,(주)샤이커뮤니케이션즈
물오른 폭유 음란 제수씨,,2020,일본,장편,드라마,개봉,,
매트릭스: 리저렉션,The Matrix Resurrections,2021,미국,장편,"액션,SF",개봉,라나 워쇼스키,
노트르담,Notre Dame,2019,프랑스,장편,"드라마,멜로/로맨스,코미디",개봉,발레리 돈젤리,
젊은 장모님,,2021,한국,장편,"멜로/로맨스,드라마",개봉,이영인,(주)영진크리에이티브
스페인 아내의 유혹 무삭제판,Temptation strategy of Spanish wife,2020,일본,장편,"성인물(에로),드라마",개봉예정,잠파,
맨 인 러브,Man In Love,2021,홍콩,장편,멜로/로맨스,개봉,,
피부를 판 남자,The Man Who Sold His Skin,2020,기타,장편,드라마,개봉,,
마이 뉴욕 다이어리,My Salinger Year,2020,캐나다,장편,드라마,개봉,필리프 팔라도,
뮤리엘의 웨딩,Muriel's Wedding,1994,호주,장편,"코미디,드라마,멜로/로맨스",개봉,P.J. 호건,씨비 2000
티탄,Titane,2021,프랑스,장편,"드라마,SF,스릴러",개봉,줄리아 듀코나우,
스파이 캣,Marnie's World,2018,독일,장편,애니메이션,개봉,"크리스토프 라우엔슈타인,울프강 라우엔슈타인",
베네데타,Benedetta,2021,프랑스,장편,드라마,개봉,폴 버호벤,
싸반,The Promise,2017,태국,장편,"공포(호러),스릴러",개봉,소폰 사크다피싯,
미켈란젤로,Michelangelo - Infinito,2017,이탈리아,장편,"드라마,다큐멘터리",개봉,,
보조바퀴,Toddler Bike,2021,한국,장편,드라마,개봉,이주예,주식회사 필름초이스
런 보이 런,RUN BOY RUN,2020,한국,장편,드라마,개봉,오원재,"(주)라온컴퍼니플러스,(주)오아시스이엔티"
걸즈 앤 판처 최종장 제1화,GIRLS und PANZER das FINALE: Part I,2017,일본,장편,애니메이션,개봉,미즈시마 츠토무,
끝없음에 관하여,About Endlessness,2019,기타,장편,기타,개봉,로이 안데르손,
리버,River,2015,캐나다,장편,"드라마,스릴러",개봉,제이미 M. 대그,
장르만 로맨스,Perhaps Love,2021,한국,장편,"드라마,코미디",개봉,조은지,(주)비리프
스파이더맨: 노 웨이 홈,Spider-Man: No Way Home,2021,미국,장편,"액션,어드벤처,SF",개봉,존 왓츠,
매트릭스 ,The Matrix,1999,미국,장편,"SF,액션",개봉,"릴리 워쇼스키,라나 워쇼스키","워너 브러더스 픽쳐스,빌리지 로드쇼 프로덕션,그루초 2 필름 파트너쉽,실버 픽쳐스"
극한직업,Extreme Job,2018,한국,장편,코미디,개봉,이병헌,"(주)어바웃잇,영화사 해그림 주식회사,(주)씨제이이엔엠"
엔드리스,Endless,2020,미국,장편,"판타지,멜로/로맨스",개봉,스콧 스피어,
기문환생,My Lord 1,2017,홍콩,장편,판타지,개봉,,
마음 급한 누나,,2021,한국,장편,성인물(에로),개봉,강현성,(주)샤이커뮤니케이션즈
거유 자매,,2021,한국,장편,성인물(에로),개봉,강현성,(주)샤이커뮤니케이션즈
강릉,Tomb of the River,2021,한국,장편,"범죄,액션",개봉,윤영빈,"(주)아센디오,(주)본팩토리,(주)데이드림엔터테인먼트,(유)조이앤시네마"
왕십리 김종분,Kim Jong-boon of Wangshimni ,2021,한국,장편,다큐멘터리,개봉,김진열,㈜인디스토리
행복의 속도,Speed of Happiness,2020,한국,장편,다큐멘터리,개봉,박혁지,(주)하이하버픽쳐스
고양이에게 밥을 주지 마세요 ,Don't Feed the Stray Cats,2020,한국,장편,다큐멘터리,개봉,"김희주,정주희",
나쁜 피,Bad Blood,1986,프랑스,장편,"드라마,멜로/로맨스",개봉,레오스 카락스,
오츠키 히비키의 흑형 체험,,2020,일본,장편,"멜로/로맨스,드라마",개봉,야마구치 다이,
야한 이모들:제모 했어요,,2020,일본,장편,"멜로/로맨스,드라마",개봉,나베,
대물 부장:내 아내를 탐하다,,2020,일본,장편,"멜로/로맨스,드라마",개봉,토미죠 타로,
화끈한 새엄마:뜨거운 여행,,2020,일본,장편,"멜로/로맨스,드라마",개봉,히로아키,
육체도우미:깨끗이 닦아드릴게요,,2020,일본,장편,"멜로/로맨스,드라마",개봉,나베,
엄마의 신음소리,,2020,일본,장편,"멜로/로맨스,드라마",개봉,토미죠 타로,
동네오빠의 불기둥,,2020,일본,장편,"멜로/로맨스,드라마",개봉,디렉터 O,
원나잇 유부녀,,2020,일본,장편,"멜로/로맨스,드라마",개봉,디렉터 O,
엄마친구:바디 프렌드,,2020,일본,장편,"멜로/로맨스,드라마",개봉,나베,
색남색녀,,2021,한국,장편,"성인물(에로),드라마",개봉,선우용,(주)룬컴퍼니
새엄마의 다리사이,,2020,일본,장편,"멜로/로맨스,드라마",개봉,히로아키,
모리사와 카나의 흑형 체험,,2020,일본,장편,"멜로/로맨스,드라마",개봉,야마구치 다이,
서복,SEOBOK,2019,한국,장편,"드라마,액션",개봉,이용주,"(주)씨제이이엔엠,(주)티피에스컴퍼니"
로그북,Log Book,2020,한국,장편,다큐멘터리,개봉,복진오,복미디어
캅샵: 미친놈들의 전쟁,Copshop,2021,미국,장편,"액션,스릴러",개봉,조 카나한,
노아의 방주 2: 새로운 세계로,Ooops! The Adventure Continues,2020,독일,장편,애니메이션,개봉,토비 젠켈,
당신은 믿지 않겠지만,The Asian Angel,2021,일본,장편,드라마,개봉,이시이 유야,(주)디오시네마
스카이파이어,Skyfire,2020,미국,장편,"액션,어드벤처",개봉,사이먼 웨스트,
몬스타엑스 : 더 드리밍,MONSTA X : THE DREAMING,2021,한국,장편,다큐멘터리,개봉,오윤동,씨제이포디플렉스 주식회사
덫에 걸린 아내,,2021,한국,장편,성인물(에로),개봉,강현성,(주)샤이커뮤니케이션즈
다시 젖은 그녀,,2021,한국,장편,성인물(에로),개봉,강현성,(주)샤이커뮤니케이션즈
아멜리에,Amelie Of Montmartre,2001,프랑스,장편,"코미디,판타지",개봉,장 피에르 주네,
청춘선거,Vote Young Ones,2021,한국,장편,다큐멘터리,개봉,민환기,오프 램프
남의 나라,,2020,한국,장편,"코미디,드라마",개봉,김정민,주식회사 플릭스코
송해 1927,Song Hae 1927,2021,한국,장편,다큐멘터리,개봉,윤재호,"주식회사 이로츠,빈스로드"
지금은맞고그때는틀리다,"Right Now, Wrong Then",2015,한국,장편,드라마,개봉,홍상수,(주)영화제작전원사 
카페 뤼미에르,Cafe Rumiere,2003,일본,장편,드라마,개봉,허우 샤오시엔,쇼지쿠 컴퍼니
월하의 작은 구멍,,2021,한국,장편,"멜로/로맨스,드라마",개봉,윤준세,(주)영진크리에이티브
낫아웃,NOT OUT,2021,한국,장편,드라마,개봉,이정곤,"이안필름,(주)키즈리턴"
라스트 나잇 인 소호,Last Night in Soho,2021,미국,장편,"공포(호러),스릴러,미스터리",개봉,에드가 라이트,
고스트버스터즈 라이즈,Ghostbusters: Afterlife,2021,미국,장편,"어드벤처,미스터리,액션",개봉,제이슨 라이트맨,
화이트데이: 부서진 결계,THE LABYRINT,2021,한국,장편,공포(호러),개봉,송운,(주)슬기로운늑대
까치발,Tiptoeing,2019,한국,장편,다큐멘터리,개봉,권우정,다큐이야기
브라더,,2021,한국,장편,"범죄,액션",개봉,신근호,"(주)모그픽쳐스,(주)더그레이트컴퍼니"
팬텀: 더 뮤지컬 라이브,Phantom: The Musical Live,2021,한국,장편,"뮤지컬,공연",개봉,박재석,(주)위즈온센
칼리버 9: 마피아 워,Caliber 9,2020,이탈리아,장편,범죄,개봉,,
언힐러,The Unhealer,2020,미국,장편,"SF,스릴러",개봉,마틴 귀귀,
십계,The Ten Commandments,2007,미국,장편,애니메이션,개봉,"빌 보이스,존 스트로나크",
리유니언,Reunion,2020,기타,장편,"공포(호러),미스터리,스릴러",개봉,제이크 마하피,
메이드 인 이태리,Made In Italy,2020,영국,장편,"드라마,멜로/로맨스",개봉,제임스 다시,
막내며느리,,2021,한국,장편,"성인물(에로),드라마",개봉,이시영,(주)룬컴퍼니
친구엄마 사용설명서 무삭제판,,2021,일본,장편,멜로/로맨스,개봉,,
유부녀의 사육 무삭제판,,2021,일본,장편,멜로/로맨스,개봉,나기라 겐조,
욕정의 목격자 무삭제판,,2021,일본,장편,멜로/로맨스,개봉,,
새엄마의 욕정중독 무삭제판,,2021,일본,장편,멜로/로맨스,개봉,,
킬링 카인드: 킬러의 수제자,The Protege,2021,미국,장편,"액션,범죄,스릴러",개봉,마틴 캠벨,
새엄마와 하기 좋은 날,,2021,일본,장편,멜로/로맨스,개봉,,
신의 손,The Hand of God,2021,미국,장편,드라마,개봉,파올로 소렌티노,
산타킬러스,Fatman,2020,미국,장편,"액션,코미디",개봉,"에숌 넬스,이안 넬스",
새엄마 중독 무삭제판,,2021,일본,장편,멜로/로맨스,개봉,,
불쾌한 섹스 무삭제판,,2021,일본,장편,멜로/로맨스,개봉,류타,
